"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"54","Environmental Defenders Office (EDO)","https://www.pc.gov.au/__data/assets/pdf_file/0011/255773/sub054-water-reform-2020.pdf","pdf","","",""
"55","Central NSW Joint Organisation (CNSWJO)","https://www.pc.gov.au/__data/assets/pdf_file/0003/255774/sub055-water-reform-2020.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0004/255775/sub055-water-reform-2020-attachment.pdf","",""
"56","Ross Knee and David Butt","https://www.pc.gov.au/__data/assets/pdf_file/0005/255794/sub056-water-reform-2020.pdf","pdf","","",""
"57","Georges Riverkeeper","https://www.pc.gov.au/__data/assets/pdf_file/0007/255796/sub057-water-reform-2020.pdf","pdf","","",""
"58","Ag Institute of Australia (AIA)","https://www.pc.gov.au/__data/assets/pdf_file/0008/255797/sub058-water-reform-2020.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0009/255798/sub058-water-reform-2020-attachmenta.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0010/255799/sub058-water-reform-2020-attachmentb.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0020/255800/sub058-water-reform-2020-attachmentc.pdf","",""
"59","Urban Water Cycle Solutions; Kingspan Water and Energy","https://www.pc.gov.au/__data/assets/pdf_file/0004/255865/sub059-water-reform-2020.pdf","pdf","","",""
"60","Grahame Campbell","https://www.pc.gov.au/__data/assets/pdf_file/0005/255866/sub060-water-reform-2020.pdf","pdf","","",""
"61","Prof Sue Jackson","https://www.pc.gov.au/__data/assets/pdf_file/0008/255869/sub061-water-reform-2020.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0009/255870/sub061-water-reform-2020-attachmenta.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0010/255871/sub061-water-reform-2020-attachmentb.pdf","",""
"62","Western Australian Government","https://www.pc.gov.au/__data/assets/pdf_file/0011/255872/sub062-water-reform-2020.pdf","pdf","","",""
"63","Engineers Australia","https://www.pc.gov.au/__data/assets/pdf_file/0003/255873/sub063-water-reform-2020.pdf","pdf","","",""
"64","National Water Grid Authority (NWGA)","https://www.pc.gov.au/__data/assets/pdf_file/0004/255874/sub064-water-reform-2020.pdf","pdf","","",""
"65","Healthy Land and Water (HLW)","https://www.pc.gov.au/__data/assets/pdf_file/0004/256072/sub065-water-reform-2020.pdf","pdf","","",""
"66","VicWater","https://www.pc.gov.au/__data/assets/pdf_file/0005/256073/sub066-water-reform-2020.pdf","pdf","","",""
"67","Phil Duncan - Traditional Owner - Gomeroi Nation","https://www.pc.gov.au/__data/assets/pdf_file/0005/256082/sub067-water-reform-2020.pdf","pdf","","",""
"68","Wentworth Group of Concerned Scientists","https://www.pc.gov.au/__data/assets/pdf_file/0007/256084/sub068-water-reform-2020.pdf","pdf","","",""
"69","Murray Irrigation","https://www.pc.gov.au/__data/assets/pdf_file/0008/256085/sub069-water-reform-2020.pdf","pdf","","",""
"70","Lifeblood Alliance (LBA)","https://www.pc.gov.au/__data/assets/pdf_file/0009/256086/sub070-water-reform-2020.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0010/256087/sub070-water-reform-2020-attachment.pdf","",""
"71","Infrastructure Partnerships Australia (IPA)","https://www.pc.gov.au/__data/assets/pdf_file/0011/256088/sub071-water-reform-2020.pdf","pdf","","",""
"72","CANEGROWERS","https://www.pc.gov.au/__data/assets/pdf_file/0003/256089/sub072-water-reform-2020.pdf","pdf","","",""
"73","Australian Petroleum Production and Exploration Association (APPEA)","https://www.pc.gov.au/__data/assets/pdf_file/0004/256090/sub073-water-reform-2020.pdf","pdf","","",""
"74","South Australian Council of Social Service (SACOSS)","https://www.pc.gov.au/__data/assets/pdf_file/0003/256152/sub074-water-reform-2020.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0004/256153/sub074-water-reform-2020-attachmenta.pdf|https://www.pc.gov.au/__data/assets/pdf_file/0005/256154/sub074-water-reform-2020-attachmentb.pdf","",""
"75","Local Government NSW (LGNSW)","https://www.pc.gov.au/__data/assets/pdf_file/0005/256163/sub075-water-reform-2020.pdf","pdf","","",""
"76","Friends of Latrobe Water (FLoW)","https://www.pc.gov.au/__data/assets/pdf_file/0017/256400/sub076-water-reform-2020.pdf","pdf","","",""
"77","Southern Riverina Irrigators (SRI)","https://www.pc.gov.au/__data/assets/pdf_file/0018/256401/sub077-water-reform-2020.pdf","pdf","","",""
"78","Murray Darling Association (MDA)","https://www.pc.gov.au/__data/assets/pdf_file/0019/256402/sub078-water-reform-2020.pdf","pdf","","",""
"79","Andrew Turnour","https://www.pc.gov.au/__data/assets/pdf_file/0003/256431/sub079-water-reform-2020.pdf","pdf","","",""
