"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"75","NSW Farmers’ Association","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20NSW%20Farmers%20-%204%20December%202019.pdf","pdf","","",""
"76","NSW Irrigators’ Council","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20NSW%20Irrigators%20Council%20-%2029%20November%202019.pdf","pdf","","",""
"77","Paul Connellan","https://www.accc.gov.au/system/files/_pdf_Water%20Inquiry%20-%20Submission%20-%20Paul%20Connellan%20-%2029%20Nov%2019%202.pdf","pdf","","",""
"78","Peel Valley Water Users Association Inc.","https://www.accc.gov.au/system/files/PDF_Water%20Inquiry%20-%20Submission%20-%20Peel%20Valley%20Water%20Users%20-%2019%20December%202019.pdf","pdf","","",""
"79","Public Interest Advocacy Centre","https://www.accc.gov.au/system/files/Water%20inquiry%20-%20Submission%20-%20Public%20Interest%20Advocacy%20Centre%20-%2015%20October%202019.pdf","pdf","","",""
"80","Renmark Irrigation Trust","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Renmark%20Irrigtion%20Trust%20-%2029%20Nov%2019.pdf","pdf","","",""
"81","Renmark Paringa Council, Berri Barmera Council and District Council of Loxton Waikerie","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Renmark%20Paringa%20Council%2C%20Berri%20Barmera%20Council%20and%20District%20Council%20Loxton%20Waikerie%20-%206%20December%202019.pdf","pdf","","",""
"82","Ricegrowers' Association of Australia Inc","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Ricegrowers%27%20Association%20of%20Australia%20-%2029%20Nov%2019.pdf","pdf","","",""
"83","Riparian Capital Partners Pty Ltd","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Riparian%20Capital%20Partners%20-%2029%20Nov%2019%20%281%29.pdf","pdf","","",""
"84","River Lakes and Coorong Action Group Inc","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20River%20Lakes%20and%20Coorong%20Action%20Group%20Inc%20%20-.pdf","pdf","","",""
"85","Riverina & Murray Joint Organisation (RAMJO)","https://www.accc.gov.au/system/files/PDF_Water%20Inquiry%20-%20Submission%20-%20Riverina%20and%20Murray%20Joint%20Organisation%20%28RAMJO%29%2029%20Nov%2019%20%281%29.pdf","pdf","","",""
"86","Riverland Wine","https://www.accc.gov.au/system/files/Redacted_Water%20Inquiry%20-%20Submission%20-%20Riverland%20Wine%20-%201%20December%202019.pdf","pdf","","",""
"87","Robert Campbell","https://www.accc.gov.au/system/files/PDF_Water%20Inquiry%20-%20Submission%20-%20Robert%20Campbell%20-%2029%20Nov%2019.pdf","pdf","","",""
"88","Robert Sheppard","https://www.accc.gov.au/system/files/_Redacted_%20Water%20inquiry%20-%20submission%20-%20Robert%20Sheppard%20-%208%20November%202019.pdf","pdf","","",""
"89","Robinvale Table Grape Growers Advocacy Group","https://www.accc.gov.au/system/files/_pdf_Water%20Inquiry%20-%20Submission%20-%20ROBINVALE%20TABLE%20GRAPE%20GROWERS%20ADVOCACY%20GROUP%20-%2029%20Nov%2019.pdf","pdf","","",""
"90","Rural Funds Management Ltd","https://www.accc.gov.au/system/files/PDF_Water%20Inquiry%20-%20Submission%20-%20Rural%20Funds%20Management%20-%2029%20Nov%2019.pdf","pdf","","",""
"91","Sawers Farms","https://www.accc.gov.au/system/files/redactedPDF_Water%20Inquiry%20-%20Submission%20-%20Sawers%20Farms%20%281%29.pdf","pdf","","",""
"92","Select Harvests Limited","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Select%20Harvests%20Limited.pdf","pdf","","",""
"93","Simone & Lachie Knight","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submission%20-%20Simone%20%26%20Lachie%20Knight%20-%2029%20Nov%2019.pdf","pdf","","",""
"94","Southern Cross Farms","https://www.accc.gov.au/system/files/Water%20Inquiry%20-%20Submissions%20-%20Southern%20Cross%20Farms%20-%201%20December%202019.pdf","pdf","","",""
"95","Stephen Archard","https://www.accc.gov.au/system/files/_Redacted_Water%20inquiry%20-%20Submission%20-%20Stephen%20Archard%20-%2013%20December%202019.pdf","pdf","","",""
"96","Stephen Brooks","https://www.accc.gov.au/system/files/_pdf_%20Water%20Inquiry%20-%20Submission%20-%20Stephen%20Brooks%20-%2009%20Nov%2019.pdf","pdf","","",""
"97","Submission provider A","https://www.accc.gov.au/system/files/Submission%20provider%20A_0.pdf","pdf","","",""
"98","Submission provider B","https://www.accc.gov.au/system/files/Submission%20provider%20B%20-%20redacted.pdf","pdf","","",""
