"id","submitter","submission_url","format","attachment_urls","page_start","page_end"
"21","Coleambally Irrigation Cooperative","https://www.pc.gov.au/__data/assets/pdf_file/0019/366040/sub021-basin-plan-2023.pdf","pdf","","",""
"22","Murray River Group of Councils (MRGC)","https://www.pc.gov.au/__data/assets/pdf_file/0003/366051/sub022-basin-plan-2023.pdf","pdf","","",""
"23","Newly formed Gingham Lower Gwydir landholders","https://www.pc.gov.au/__data/assets/pdf_file/0007/366091/sub023-basin-plan-2023.pdf","pdf","","",""
"24","Renmark Irrigation Trust","https://www.pc.gov.au/__data/assets/pdf_file/0007/366298/sub024-basin-plan-2023.pdf","pdf","","",""
"25","Moira Shire Council","https://www.pc.gov.au/__data/assets/pdf_file/0008/366299/sub025-basin-plan-2023.pdf","pdf","","",""
"26","Australian Competition and Consumer Commission (ACCC)","https://www.pc.gov.au/__data/assets/pdf_file/0019/366301/sub026-basin-plan-2023.pdf","pdf","","",""
"27","Murray Regional Strategy Group (MRSG)","https://www.pc.gov.au/__data/assets/pdf_file/0020/366302/sub027-basin-plan-2023.pdf","pdf","https://www.pc.gov.au/__data/assets/pdf_file/0011/367724/sub027-basin-plan-2023-attachment.pdf","",""
"28","Goulburn Valley Environment Group (GVEG)","https://www.pc.gov.au/__data/assets/pdf_file/0004/366304/sub028-basin-plan-2023.pdf","pdf","","",""
"29","Robert Campbell","https://www.pc.gov.au/__data/assets/pdf_file/0006/366306/sub029-basin-plan-2023.pdf","pdf","","",""
"30","Summerfruit SA","https://www.pc.gov.au/__data/assets/pdf_file/0007/366307/sub030-basin-plan-2023.pdf","pdf","","",""
"31","Central NSW Joint Organisation (CNSWJO)","https://www.pc.gov.au/__data/assets/pdf_file/0007/366334/sub031-basin-plan-2023.pdf","pdf","","",""
"32","Jason Modica","https://www.pc.gov.au/__data/assets/pdf_file/0008/366335/sub032-basin-plan-2023.pdf","pdf","","",""
"33","Central Irrigation Trust (CIT)","https://www.pc.gov.au/__data/assets/pdf_file/0010/366337/sub033-basin-plan-2023.pdf","pdf","","",""
"34","Victorian Farmers Federation (VFF)","https://www.pc.gov.au/__data/assets/pdf_file/0011/366338/sub034-basin-plan-2023.pdf","pdf","","",""
